Codigo,Titulo no Brasil,Produtor ,Pais de origem ,Ano de producao ,Distribuidor do Jogo no Brasil ,Plataforma,Genero,Classificacao pretendida, Classificacao Atribuida ,Contem ,Tipo de Analise,Tipo do Material ,Requerente,Data Portaria ,Numero Portaria ,Data DOU,Secao 1/ Pagina
6,O SALÃO ENCANTADO,COMPEDIA,Estados Unidos da America,1998,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Infantil                                          ,livre,livre,Criatividade,Comum,Execucao do Software,CD Expert Editora e Distribuidora Ltda.,11/12/2001,1,11/12/2001,26
6,O SALÃO ENCANTADO,COMPEDIA,Franca,1998,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Infantil                                          ,livre,livre,Aprendizado Infantil (Formas, Cores, Motricidade, etc),Comum,Execucao do Software,CD Expert Editora e Distribuidora Ltda.,11/12/2001
6,O SALÃO ENCANTADO,COMPEDIA,Franca,1998,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Infantil                                          ,livre,livre,Criatividade,Comum,Execucao do Software,CD Expert Editora e Distribuidora Ltda.,11/12/2001,1,11/12/2001,26
41,CIENCIA DIVERTIDA - LUZ,CIA. MELHORAMENTOS,Brasil,1996,FuturArte Editora Ltda.                                                         ,Computador,Infantil                                          ,livre,livre,Educacional,Comum,Execucao do Software,Divertire Editora Ltda./Futurarte Editora Ltda.,28/12/2001,4,28/12/2001,126
41,CIENCIA DIVERTIDA - LUZ,CIA. MELHORAMENTOS,Brasil,1996,FuturArte Editora Ltda.                                                         ,Computador,Educacional,livre,livre,Educacional,Comum,Execucao do Software,Divertire Editora Ltda./Futurarte Editora Ltda.,28/12/2001,4,28/12/2001,126
43,PIONEIROS DO CINEMA,CIA. MELHORAMENTOS,Brasil,1997,FuturArte Editora Ltda.                                                         ,Computador,Infantil                                          ,livre,livre,Educacional,Comum,Execucao do Software,Divertire Editora Ltda./Futurarte Editora Ltda.,28/12/2001,4,28/12/2001,126
43,PIONEIROS DO CINEMA,CIA. MELHORAMENTOS,Brasil,1997,FuturArte Editora Ltda.                                                         ,Computador,Educacional,livre,livre,Educacional,Comum,Execucao do Software,Divertire Editora Ltda./Futurarte Editora Ltda.,28/12/2001,4,28/12/2001,126
45,ATLAS GEOGRAFICO BRASILEIRO,CIA. MELHORAMENTO,Brasil,1997,FuturArte Editora Ltda.                                                         ,Computador,Infantil                                          ,livre,livre,Educacional,Comum,Execucao do Software,Divertire Editora Ltda./Futurarte Editora Ltda.,28/12/2001,4,28/12/2001,126
45,ATLAS GEOGRAFICO BRASILEIRO,CIA. MELHORAMENTO,Brasil,1997,FuturArte Editora Ltda.                                                         ,Computador,Infantil                                          ,livre,livre,Infantil,Comum,Execucao do Software,Divertire Editora Ltda./Futurarte Editora Ltda.,28/12/2001,4,28/12/2001,126
45,ATLAS GEOGRAFICO BRASILEIRO,CIA. MELHORAMENTO,Brasil,1997,FuturArte Editora Ltda.                                                         ,Computador,Educacional,livre,livre,Educacional,Comum,Execucao do Software,Divertire Editora Ltda./Futurarte Editora Ltda.,28/12/2001,4,28/12/2001,126
45,ATLAS GEOGRAFICO BRASILEIRO,CIA. MELHORAMENTO,Brasil,1997,FuturArte Editora Ltda.                                                         ,Computador,Educacional,livre,livre,Infantil,Comum,Execucao do Software,Divertire Editora Ltda./Futurarte Editora Ltda.,28/12/2001,4,28/12/2001,126
47,EDUCASERE II - CAPITAIS BRASILEIRAS,INPE - INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS,Brasil,1997,FuturArte Editora Ltda.                                                         ,Computador,Educacional,livre,livre,Educacional,Comum,Execucao do Software,Divertire Editora Ltda./Futurarte Editora Ltda.,28/12/2001,4,28/12/2001,126
47,EDUCASERE II - CAPITAIS BRASILEIRAS,INPE - INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS,Brasil,1997,FuturArte Editora Ltda.                                                         ,Computador,Educacional,livre,livre,Infantil,Comum,Execucao do Software,Divertire Editora Ltda./Futurarte Editora Ltda.,28/12/2001,4,28/12/2001,126
49,VAMOS FALAR INGLES,THE LEARNING COMPANY,Brasil,1998,FuturArte Editora Ltda.                                                         ,Computador,Educacional,livre,livre,Educacional,Comum,Execucao do Software,Divertire Editora Ltda./Futurarte Editora Ltda.,28/12/2001,5,28/12/2001,126/128  
49,VAMOS FALAR INGLES,THE LEARNING COMPANY,Brasil,1998,FuturArte Editora Ltda.                                                         ,Computador,Cursos de Idiomas,livre,livre,Educacional,Comum,Execucao do Software,Divertire Editora Ltda./Futurarte Editora Ltda.,28/12/2001,5,28/12/2001,126/128  
51,BR 105,CIA. MELHORAMENTOS,Brasil,1997,FuturArte Editora Ltda.                                                         ,Computador,Infantil                                          ,livre,livre,Educacional,Comum,Execucao do Software,Divertire Editora Ltda./Futurarte Editora Ltda.,28/12/2001,4,28/12/2001,126
51,BR 105,CIA. MELHORAMENTOS,Brasil,1997,FuturArte Editora Ltda.                                                         ,Computador,Infantil                                          ,livre,livre,Infantil,Comum,Execucao do Software,Divertire Editora Ltda./Futurarte Editora Ltda.,28/12/2001,4,28/12/2001,126
51,BR 105,CIA. MELHORAMENTOS,Brasil,1997,FuturArte Editora Ltda.                                                         ,Computador,Educacional,livre,livre,Educacional,Comum,Execucao do Software,Divertire Editora Ltda./Futurarte Editora Ltda.,28/12/2001,4,28/12/2001,126
51,BR 105,CIA. MELHORAMENTOS,Brasil,1997,FuturArte Editora Ltda.                                                         ,Computador,Educacional,livre,livre,Infantil,Comum,Execucao do Software,Divertire Editora Ltda./Futurarte Editora Ltda.,28/12/2001,4,28/12/2001,126
7,FALLOUT 2,INTERPLAY,Estados Unidos da America,1998,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Estrategia,Inadequado para menores de 16 anos,Inadequado para menores de 16 anos,Tensao,Comum,Execucao do Software,CD Expert Editora e Distribuidora Ltda.,17/12/2001,2,17/12/2001,217
7,FALLOUT 2,INTERPLAY,Estados Unidos da America,1998,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Estrategia,Inadequado para menores de 16 anos,Inadequado para menores de 16 anos,Violencia,Comum,Execucao do Software,CD Expert Editora e Distribuidora Ltda.,17/12/2001,2,17/12/2001,217
8,TUROK 2,ACCLAIM,Estados Unidos da America,1998,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Acao                                              ,Inadequado para menores de 18 anos,Inadequado para menores de 18 anos,Humano (Civil) frequentemente,Comum,Execucao do Software,CD Expert Editora e Distribuidora Ltda.,17/12/2001,2,17/12/2001,217
8,TUROK 2,ACCLAIM,Estados Unidos da America,1998,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Acao                                              ,Inadequado para menores de 18 anos,Inadequado para menores de 18 anos,Humanos frequentemente,Comum,Execucao do Software,CD Expert Editora e Distribuidora Ltda.,17/12/2001,2,17/12/2001,217
8,TUROK 2,ACCLAIM,Estados Unidos da America,1998,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Acao                                              ,Inadequado para menores de 18 anos,Inadequado para menores de 18 anos,Objetos frequentemente,Comum,Execucao do Software,CD Expert Editora e Distribuidora Ltda.,17/12/2001,2,17/12/2001,217
8,TUROK 2,ACCLAIM,Estados Unidos da America,1998,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Acao                                              ,Inadequado para menores de 18 anos,Inadequado para menores de 18 anos,Sangue Animado,Comum,Execucao do Software,CD Expert Editora e Distribuidora Ltda.,17/12/2001,2,17/12/2001,217
8,TUROK 2,ACCLAIM,Estados Unidos da America,1998,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Acao                                              ,Inadequado para menores de 18 anos,Inadequado para menores de 18 anos,Sangue Realista,Comum,Execucao do Software,CD Expert Editora e Distribuidora Ltda.,17/12/2001,2,17/12/2001,217
8,TUROK 2,ACCLAIM,Estados Unidos da America,1998,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Acao                                              ,Inadequado para menores de 18 anos,Inadequado para menores de 18 anos,Tensao,Comum,Execucao do Software,CD Expert Editora e Distribuidora Ltda.,17/12/2001,2,17/12/2001,217
8,TUROK 2,ACCLAIM,Estados Unidos da America,1998,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Acao                                              ,Inadequado para menores de 18 anos,Inadequado para menores de 18 anos,Violencia,Comum,Execucao do Software,CD Expert Editora e Distribuidora Ltda.,17/12/2001,2,17/12/2001,217
8,TUROK 2,ACCLAIM,Estados Unidos da America,1998,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Acao                                              ,Inadequado para menores de 18 anos,Inadequado para menores de 18 anos,Violencia Realista,Comum,Execucao do Software,CD Expert Editora e Distribuidora Ltda.,17/12/2001,2,17/12/2001,217
9,UM DIA COM OS WIGGLES,DATAWORKS,Estados Unidos da America,2000,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Infantil                                          ,livre,livre,Coordenacao Motora,Comum,Execucao do Software,CD Expert Editora e Distribuidora Ltda.,17/12/2001,2,17/12/2001,217
9,UM DIA COM OS WIGGLES,DATAWORKS,Estados Unidos da America,2000,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Infantil                                          ,livre,livre,Criatividade,Comum,Execucao do Software,CD Expert Editora e Distribuidora Ltda.,17/12/2001,2,17/12/2001,217
10,AS AVENTURAS DA ABELHINHA MAYA,TIVOLA,Estados Unidos da America,1998,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Infantil                                          ,livre,livre,Aprendizado Infantil (Formas, Cores, Motricidade, etc),Comum,VHS                 ,CD Expert Editora e Distribuidora Ltda.,17/12/2001
10,AS AVENTURAS DA ABELHINHA MAYA,TIVOLA,Estados Unidos da America,1998,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Infantil                                          ,livre,livre,Matematica,Comum,VHS                 ,CD Expert Editora e Distribuidora Ltda.,17/12/2001,2,17/12/2001,217
11,GRUNTZ,MONOLITH,Estados Unidos da America,1998,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Estrategia/Infantil,livre,Inadequado para menores de 12 anos,Violencia moderada,Comum,Execucao do Software,CD Expert Editora e Distribuidora Ltda.,17/12/2001,2,17/12/2001,217
12,DISNEY PRIMEIROS PASSOS,DISNEY INTER ACTIVE,Estados Unidos da America,2001,Positivo Informatica Ltda.                                                      ,Computador,Educacional,livre,livre,null,Comum,Execucao do Software,Positivo Informatica Ltda.,17/12/2001,2,17/12/2001,27
13,DISNEY MATERNAL,DISNEY INTER ACTIVE,Estados Unidos da America,2001,null,Computador,Educacional,livre,livre,null,Comum,Execucao do Software,Positivo Informatica Ltda.,17/12/2001,2,17/12/2001,217
14,DISNEY JARDIM,DISNEY INTER ACTIVE,Estados Unidos da America,2001,Positivo Informatica Ltda.                                                      ,Computador,Educacional,livre,livre,null,Comum,Execucao do Software,Positivo Informatica Ltda.,17/12/2001,2,17/12/2001,217
15,GAME NET & MATCH,BRASOFT/PI EDITORA,Franca,1998,Brasoft/PI Editora                                                              ,Computador,Variedades                                        ,livre,livre,null,Comum,Execucao do Software,PI Editora Ltda.,17/12/2001,2,17/12/2001,217
16,EVIL TWIN,BRASOFT/PI EDITORA,Franca,2001,Brasoft/PI Editora                                                              ,Computador,Ficcao/Terror                                     ,Inadequado para menores de 14 anos,Inadequado para menores de 16 anos,Tensao,Comum,null,PI Editora Ltda.,17/12/2001,2,17/12/2001,217
16,EVIL TWIN,BRASOFT/PI EDITORA,Franca,2001,Brasoft/PI Editora                                                              ,Computador,Ficcao/Terror                                     ,Inadequado para menores de 14 anos,Inadequado para menores de 16 anos,Violencia,Comum,null,PI Editora Ltda.,17/12/2001,2,17/12/2001,217
17,KOHAN - SOBERANOS IMORTAIS,BRASOFT/PI EDITORA,Franca,2001,Brasoft/PI Editora                                                              ,Computador,Estrategia,Inadequado para menores de 14 anos,Inadequado para menores de 16 anos,Violencia,Comum,Execucao do Software,PI Editora Ltda.,17/12/2001,2,17/12/2001,217
18,POOL OF RADIANCE - AS RUINAS DE DRANNOR,BRASOFT/PI EDITORA,Franca,2001,Brasoft/PI Editora                                                              ,Computador,Ficcao                                            ,Inadequado para menores de 14 anos,Inadequado para menores de 14 anos,Tensao,Comum,Execucao do Software,PI Editora Ltda.,17/12/2001,2,17/12/2001,217
18,POOL OF RADIANCE - AS RUINAS DE DRANNOR,BRASOFT/PI EDITORA,Franca,2001,Brasoft/PI Editora                                                              ,Computador,Ficcao                                            ,Inadequado para menores de 14 anos,Inadequado para menores de 14 anos,Violencia,Comum,Execucao do Software,PI Editora Ltda.,17/12/2001,2,17/12/2001,217
19,HARRY POTTER E A PEDRA FILOSOFAL - GBA,KNOW WONDER,Inglaterra,2001,Electronic Arts Ltda.                                                           ,Computador,Acao                                              ,livre,livre,null,Comum,Sinopse e Video     ,Gradiente Entertainment Ltda.,19/12/2001,3,19/12/2001,44/45  
20,HARRY POTTER E A PEDRA FILOSOFAL - GBC,KNOW WONDER,Estados Unidos da America,2001,Electronic Arts Ltda.                                                           ,Computador,Aventura                                          ,livre,livre,null,Comum,Sinopse e Video     ,Gradiente Entertainment Ltda.,19/12/2001,3,19/12/2001,44/45  
20,HARRY POTTER E A PEDRA FILOSOFAL - GBC,KNOW WONDER,Estados Unidos da America,2001,Electronic Arts Ltda.                                                           ,Portatil - Cartucho,Aventura                                          ,livre,livre,null,Comum,Sinopse e Video     ,Gradiente Entertainment Ltda.,19/12/2001,3,19/12/2001,44/45  
20,HARRY POTTER E A PEDRA FILOSOFAL - GBC,KNOW WONDER,Estados Unidos da America,2001,Electronic Arts Ltda.                                                           ,Computador,Aventura                                          ,livre,livre,null,Comum,Sinopse e Video     ,Electronic Arts Ltda.,17/10/2003,41,17/10/2003,24
20,HARRY POTTER E A PEDRA FILOSOFAL - GBC,KNOW WONDER,Estados Unidos da America,2001,Electronic Arts Ltda.                                                           ,Portatil - Cartucho,Aventura                                          ,livre,livre,null,Comum,Sinopse e Video     ,Electronic Arts Ltda.,17/10/2003,41,17/10/2003,24
21,SILVER,INFROGRAMES,Estados Unidos da America,1999,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Acao                                              ,Inadequado para menores de 14 anos,Inadequado para menores de 16 anos,Tensao,Comum,Execucao do Software,CD Expert Editora e Distribuidora Ltda.,11/12/2001,1,11/12/2001,26
21,SILVER,INFROGRAMES,Estados Unidos da America,1999,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Acao                                              ,Inadequado para menores de 14 anos,Inadequado para menores de 16 anos,Violencia,Comum,Execucao do Software,CD Expert Editora e Distribuidora Ltda.,11/12/2001,1,11/12/2001,26
22,X-MEN REIGN OF APOCALYPSE,DIGITAL ECLIPSE,Estados Unidos da America,2001,ACTIVISION                                                                      ,Portatil - Cartucho,Aventura                                          ,livre,Inadequado para menores de 14 anos,Violencia,Comum,Sinopse e Video     ,Gradiente Entertainment Ltda.,19/12/2001,3,19/12/2001,44/45  
23,SUPER STREET FIGHTER 2 TURBO - REVIVAL,CAPCOM,Estados Unidos da America,2001,Capcom                                                                          ,Portatil - Cartucho,Lutas Marciais,Inadequado para menores de 14 anos,Inadequado para menores de 14 anos,Violencia,Comum,Sinopse e Video     ,Gradiente Entertainment Ltda.,19/12/2001,3,19/12/2001,44/45  
24,LEGACY OF KAIN: SOUL REAVER,EIDOS INTERACTIVE,Estados Unidos da America,1999,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Aventura                                          ,Inadequado para menores de 16 anos,Inadequado para menores de 16 anos,Criaturas ocasionalmente,Comum,Execucao do Software,CD Expert Editora e Distribuidora Ltda.,11/12/2001,1,11/12/2001,26
24,LEGACY OF KAIN: SOUL REAVER,EIDOS INTERACTIVE,Estados Unidos da America,1999,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Aventura                                          ,Inadequado para menores de 16 anos,Inadequado para menores de 16 anos,Humano (Civil) ocasionalmente,Comum,Execucao do Software,CD Expert Editora e Distribuidora Ltda.,11/12/2001,1,11/12/2001,26
24,LEGACY OF KAIN: SOUL REAVER,EIDOS INTERACTIVE,Estados Unidos da America,1999,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Aventura                                          ,Inadequado para menores de 16 anos,Inadequado para menores de 16 anos,Objetos ocasionalmente,Comum,Execucao do Software,CD Expert Editora e Distribuidora Ltda.,11/12/2001,1,11/12/2001,26
24,LEGACY OF KAIN: SOUL REAVER,EIDOS INTERACTIVE,Estados Unidos da America,1999,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Aventura                                          ,Inadequado para menores de 16 anos,Inadequado para menores de 16 anos,Sangue Animado,Comum,Execucao do Software,CD Expert Editora e Distribuidora Ltda.,11/12/2001,1,11/12/2001,26
24,LEGACY OF KAIN: SOUL REAVER,EIDOS INTERACTIVE,Estados Unidos da America,1999,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Aventura                                          ,Inadequado para menores de 16 anos,Inadequado para menores de 16 anos,Violencia Animada,Comum,Execucao do Software,CD Expert Editora e Distribuidora Ltda.,11/12/2001,1,11/12/2001,26
25,SPIDERMAN: A AMEACA DE MYSTERIO,VICARIOUS VISIONS,Estados Unidos da America,2001,ACTIVISION                                                                      ,Portatil - Cartucho,Acao                                              ,livre,Inadequado para menores de 12 anos,Violencia moderada,Comum,Sinopse e Video     ,Gradiente Entertainment Ltda.,19/12/2001,3,19/12/2001,44/45  
26,WARIO LAND 4,NINTENDO,Estados Unidos da America,2001,Nintendo                                                                        ,Portatil - Cartucho,Aventura                                          ,livre,Inadequado para menores de 12 anos,Violencia moderada,Comum,Sinopse e Video     ,Gradiente Entertainment Ltda.,19/12/2001,3,19/12/2001,44/45  
27,ALONE IN THE DARK: THE NEW NIGHTMARE - GBC,POCKET STUDIOS,Estados Unidos da America,2001,Infogrames do Brasil Ltda.                                                      ,Portatil - Cartucho,Aventura                                          ,Inadequado para menores de 14 anos,Inadequado para menores de 16 anos,Tensao,Comum,Execucao do Software,Gradiente Entertainment Ltda.,19/12/2001,3,19/12/2001,44/45  
27,ALONE IN THE DARK: THE NEW NIGHTMARE - GBC,POCKET STUDIOS,Estados Unidos da America,2001,Infogrames do Brasil Ltda.                                                      ,Portatil - Cartucho,Aventura                                          ,Inadequado para menores de 14 anos,Inadequado para menores de 16 anos,Violencia,Comum,Execucao do Software,Gradiente Entertainment Ltda.,19/12/2001,3,19/12/2001,44/45  
28,SNOOPY TENNIS,INFROGRAMES,Estados Unidos da America,2001,Infogrames do Brasil Ltda.                                                      ,Portatil - Cartucho,Esportes,livre,livre,null,Comum,Execucao do Software,Gradiente Entertainment Ltda.,19/12/2001,3,19/12/2001,44/45  
29,TRADE EMPIRES,EIDOS INTERACTIVE,Estados Unidos da America,2001,GreenLeaf Distribuidora Ltda.                                                   ,Computador,Estrategia,livre,livre,null,Comum,Execucao do Software,GreenLeaf Distribuidora Ltda.,11/12/2001,1,11/12/2001,26
30,MARIO KART: SUPER CIRCUIT,NINTENDO,Estados Unidos da America,2001,Nintendo                                                                        ,Portatil - Cartucho,Esportes,livre,livre,null,Comum,Execucao do Software,Gradiente Entertainment Ltda.,19/12/2001,3,19/12/2001,44/45  
31,PICA-PAU RACING,KONAMI,Estados Unidos da America,2001,Konami                                                                          ,Portatil - Cartucho,Esportes,livre,livre,Aprendizado Infantil (Formas, Cores, Motricidade, etc),Comum,Execucao do Software,Gradiente Entertainment Ltda.,19/12/2001
31,PICA-PAU RACING,KONAMI,Estados Unidos da America,2001,Konami                                                                          ,Portatil - Cartucho,Esportes,livre,livre,Infantil,Comum,Execucao do Software,Gradiente Entertainment Ltda.,19/12/2001,3,19/12/2001,44/45  
32,007 - O MUNDO NÃO E O BASTANTE,2N,Estados Unidos da America,2001,Electronic Arts Ltda.                                                           ,Portatil - Cartucho,Acao                                              ,livre,Inadequado para menores de 14 anos,Violencia,Comum,Execucao do Software,Gradiente Entertainment Ltda.,19/12/2001,3,19/12/2001,44/45  
33,STARTOPIA,EIDOS INTERACTIVE,Estados Unidos da America,2001,GreenLeaf Distribuidora Ltda.                                                   ,Computador,Estrategia,Inadequado para menores de 12 anos,Inadequado para menores de 16 anos,Insinuacões de sexo,Comum,Execucao do Software,GreenLeaf Distribuidora Ltda.,11/12/2001,1,11/12/2001,26
33,STARTOPIA,EIDOS INTERACTIVE,Estados Unidos da America,2001,GreenLeaf Distribuidora Ltda.                                                   ,Computador,Estrategia,Inadequado para menores de 12 anos,Inadequado para menores de 16 anos,Violencia moderada,Comum,Execucao do Software,GreenLeaf Distribuidora Ltda.,11/12/2001,1,11/12/2001,26
34,PLANETA DOS MACACOS,BRASOFT/PI EDITORA,Franca,2001,Brasoft/PI Editora                                                              ,Computador,Aventura/Acao                                     ,Inadequado para menores de 12 anos,Inadequado para menores de 14 anos,Tensao,Comum,Execucao do Software,PI Editora Ltda.,19/12/2001,3,19/12/2001,44/45  
34,PLANETA DOS MACACOS,BRASOFT/PI EDITORA,Franca,2001,Brasoft/PI Editora                                                              ,Computador,Aventura/Acao                                     ,Inadequado para menores de 12 anos,Inadequado para menores de 14 anos,Violencia,Comum,Execucao do Software,PI Editora Ltda.,19/12/2001,3,19/12/2001,44/45  
35,GANGSTERS 2,EIDOS INTERACTIVE,Estados Unidos da America,2001,GreenLeaf Distribuidora Ltda.                                                   ,Computador,Estrategia,Inadequado para menores de 18 anos,Inadequado para menores de 18 anos,Drogas,Comum,Execucao do Software,GreenLeaf Distribuidora Ltda.,11/12/2001,1,11/12/2001,26
35,GANGSTERS 2,EIDOS INTERACTIVE,Estados Unidos da America,2001,GreenLeaf Distribuidora Ltda.                                                   ,Computador,Estrategia,Inadequado para menores de 18 anos,Inadequado para menores de 18 anos,Violencia,Comum,Execucao do Software,GreenLeaf Distribuidora Ltda.,11/12/2001,1,11/12/2001,26
36,HEAVY GEAR II,ACTIVISION,Estados Unidos da America,1999,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Acao                                              ,Inadequado para menores de 14 anos,Inadequado para menores de 16 anos,Tensao,Comum,Sinopse e Video     ,CD Expert Editora e Distribuidora Ltda.,19/12/2001,3,19/12/2001,44/45  
36,HEAVY GEAR II,ACTIVISION,Estados Unidos da America,1999,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Acao                                              ,Inadequado para menores de 14 anos,Inadequado para menores de 16 anos,Violencia,Comum,Sinopse e Video     ,CD Expert Editora e Distribuidora Ltda.,19/12/2001,3,19/12/2001,44/45  
37,ANACHRONOX,EIDOS INTERACTIVE,Estados Unidos da America,2001,GreenLeaf Distribuidora Ltda.                                                   ,Computador,Aventura/Acao                                     ,Inadequado para menores de 12 anos,Inadequado para menores de 16 anos,Tensao,Comum,Sinopse e Video     ,GreenLeaf Distribuidora Ltda.,19/12/2001,3,19/12/2001,44/45  
37,ANACHRONOX,EIDOS INTERACTIVE,Estados Unidos da America,2001,GreenLeaf Distribuidora Ltda.                                                   ,Computador,Aventura/Acao                                     ,Inadequado para menores de 12 anos,Inadequado para menores de 16 anos,Violencia,Comum,Sinopse e Video     ,GreenLeaf Distribuidora Ltda.,19/12/2001,3,19/12/2001,44/45  
38,COMMANDOS - HOMENS DE CORAGEM,EIDOS INTERACTIVE,Estados Unidos da America,2001,GreenLeaf Distribuidora Ltda.                                                   ,Computador,Estrategia,Inadequado para menores de 12 anos,Inadequado para menores de 16 anos,Tensao,Comum,Execucao do Software,GreenLeaf Distribuidora Ltda.,11/12/2001,1,11/12/2001,26
38,COMMANDOS - HOMENS DE CORAGEM,EIDOS INTERACTIVE,Estados Unidos da America,2001,GreenLeaf Distribuidora Ltda.                                                   ,Computador,Estrategia,Inadequado para menores de 12 anos,Inadequado para menores de 16 anos,Violencia,Comum,Execucao do Software,GreenLeaf Distribuidora Ltda.,11/12/2001,1,11/12/2001,26
39,MUSEU DO LOUVRE PARA CRIANCAS,CIA. MELHORAMENTOS,Brasil,1996,FuturArte Editora Ltda.                                                         ,Computador,Infantil                                          ,livre,livre,Educacional,Comum,Execucao do Software,Divertire Editora Ltda./Futurarte Editora Ltda.,28/12/2001,4,28/12/2001,126
39,MUSEU DO LOUVRE PARA CRIANCAS,CIA. MELHORAMENTOS,Brasil,1996,FuturArte Editora Ltda.                                                         ,Computador,Educacional,livre,livre,Educacional,Comum,Execucao do Software,Divertire Editora Ltda./Futurarte Editora Ltda.,28/12/2001,4,28/12/2001,126
40,CIENCIA DIVERTIDA - ELETRICIDADE E IMÃS,CIA. MELHORAMENTOS,Brasil,1997,FuturArte Editora Ltda.                                                         ,Computador,Infantil                                          ,livre,livre,Educacional,Comum,Execucao do Software,Divertire Editora Ltda./Futurarte Editora Ltda.,28/12/2001,4,28/12/2001,126
